Sat.A1Gregorian            Sat.EarthMJ2000Eq.X       Sat.EarthMJ2000Eq.Y       Sat.EarthMJ2000Eq.Z       
07 Oct 2023 12:00:05.034   26279.5                   175452                    27645.4                   
07 Oct 2023 12:01:05.034   26250.6                   175457                    27641                     
07 Oct 2023 12:04:06.682   26163.1                   175472                    27627.5                   
07 Oct 2023 12:12:59.795   25906                     175513                    27587.6                   
07 Oct 2023 12:44:27.647   24991.4                   175632                    27441.8                   
07 Oct 2023 13:29:27.647   23672.6                   175727                    27221.8                   
07 Oct 2023 14:14:27.647   22341.7                   175734                    26988.2                   
07 Oct 2023 14:59:27.647   20999.4                   175652                    26741.2                   
07 Oct 2023 15:44:27.647   19646.3                   175480                    26480.6                   
07 Oct 2023 16:29:27.647   18282.9                   175220                    26206.8                   
07 Oct 2023 17:14:27.647   16910                     174869                    25919.5                   
07 Oct 2023 17:59:27.647   15528.2                   174427                    25619                     
07 Oct 2023 18:44:27.647   14138                     173894                    25305.1                   
07 Oct 2023 19:29:27.647   12740.2                   173269                    24978                     
07 Oct 2023 20:14:27.647   11335.4                   172550                    24637.6                   
07 Oct 2023 20:59:27.647   9924.23                   171738                    24283.9                   
07 Oct 2023 21:44:27.647   8507.4                    170830                    23916.8                   
07 Oct 2023 22:29:27.647   7085.61                   169826                    23536.4                   
07 Oct 2023 23:14:27.647   5659.58                   168724                    23142.6                   
07 Oct 2023 23:59:27.647   4230.07                   167523                    22735.4                   
08 Oct 2023 00:44:27.647   2797.86                   166222                    22314.5                   
08 Oct 2023 01:29:27.647   1363.77                   164818                    21880.1                   
08 Oct 2023 02:14:27.647   -71.3355                  163310                    21432                     
08 Oct 2023 02:59:27.647   -1506.55                  161695                    20970                     
08 Oct 2023 03:44:27.647   -2940.91                  159973                    20494.1                   
08 Oct 2023 04:29:27.647   -4373.38                  158139                    20004.2                   
08 Oct 2023 05:14:27.647   -5802.86                  156193                    19500                     
08 Oct 2023 05:59:27.647   -7228.17                  154130                    18981.5                   
08 Oct 2023 06:44:27.647   -8648.04                  151947                    18448.3                   
08 Oct 2023 07:29:27.647   -10061.1                  149643                    17900.4                   
08 Oct 2023 08:14:27.647   -11465.7                  147212                    17337.6                   
08 Oct 2023 08:59:27.647   -12860.4                  144650                    16759.5                   
08 Oct 2023 09:44:27.647   -14243.2                  141955                    16165.9                   
08 Oct 2023 10:29:27.647   -15612.2                  139119                    15556.5                   
08 Oct 2023 11:14:27.647   -16965.1                  136139                    14931.1                   
08 Oct 2023 11:59:27.647   -18299.3                  133009                    14289.3                   
08 Oct 2023 12:44:27.647   -19612                    129722                    13630.6                   
08 Oct 2023 13:29:27.647   -20899.9                  126270                    12954.9                   
08 Oct 2023 14:14:27.647   -22159.4                  122645                    12261.5                   
08 Oct 2023 14:59:27.647   -23386.2                  118840                    11550.1                   
08 Oct 2023 15:44:27.647   -24575.3                  114842                    10820.1                   
08 Oct 2023 16:29:27.647   -25720.9                  110641                    10071                     
08 Oct 2023 17:14:27.647   -26816.1                  106222                    9302.31                   
08 Oct 2023 17:59:27.647   -27852.6                  101572                    8513.33                   
08 Oct 2023 18:44:27.647   -28820.5                  96670.8                   7703.46                   
08 Oct 2023 19:29:27.647   -29707.3                  91498.1                   6872.04                   
08 Oct 2023 20:14:27.647   -30497.6                  86028.7                   6018.43                   
08 Oct 2023 20:59:27.647   -31171.7                  80232.1                   5142.04                   
08 Oct 2023 21:44:27.647   -31704                    74071.1                   4242.44                   
08 Oct 2023 22:29:27.647   -32059.8                  67499.3                   3319.47                   
08 Oct 2023 23:06:55.613   -32187.6                  61672                     2533.5                    
08 Oct 2023 23:40:29.223   -32139.2                  56140.3                   1816.67                   
09 Oct 2023 00:10:31.807   -31933.8                  50905                     1165.83                   
09 Oct 2023 00:40:25.115   -31539.3                  45394.6                   511.548                   
09 Oct 2023 01:04:11.402   -31056.5                  40767.8                   -11.6681                  
09 Oct 2023 01:27:51.930   -30388.6                  35915.1                   -532.569                  
09 Oct 2023 01:46:46.412   -29688.4                  31841.8                   -945.737                  
09 Oct 2023 02:05:36.006   -28806.9                  27589.1                   -1351.14                  
