Discovery.UTCGregorian     Discovery.EarthMJ2000Eq.X   Discovery.EarthMJ2000Eq.Y   Discovery.EarthMJ2000Eq.Z   
01 Jan 2000 11:59:28.000   5591.338595273433           92.56494665158068           3052.540816793496           
01 Jan 2000 12:00:28.000   5181.759926774945           35.26640409995989           3254.952659098576           
01 Jan 2000 12:01:44.073   4615.659404104082           -37.64180577670655          3481.594182511555           
01 Jan 2000 12:02:56.666   4024.233438775463           -106.7848464548332          3658.977316393978           
01 Jan 2000 12:04:02.993   3438.179070807551           -168.7475044913274          3779.331080210181           
01 Jan 2000 12:05:03.298   2866.435427495995           -223.1752905181196          3845.780696965968           
01 Jan 2000 12:05:58.257   2312.961423971035           -270.2573960819793          3862.619957523819           
01 Jan 2000 12:06:48.499   1780.741951820493           -310.2303631163336          3833.873281467329           
01 Jan 2000 12:07:34.453   1273.623537574571           -343.2546087121291          3763.51769606094            
01 Jan 2000 12:08:16.280   797.6042010222108           -369.4236830719146          3656.455294804031           
01 Jan 2000 12:08:54.161   357.6274478510368           -389.0343467659944          3518.593074075053           
01 Jan 2000 12:09:28.387   -43.75158158534006          -402.609382621238           3356.11787277968            
01 Jan 2000 12:09:59.561   -408.9180276958982          -410.850305381204           3173.329002400225           
01 Jan 2000 12:10:28.212   -740.4989206145448          -414.3568617375442          2973.50470018664            
01 Jan 2000 12:10:54.928   -1042.511211463625          -413.6066615564862          2757.931649072007           
01 Jan 2000 12:11:20.153   -1317.62804387769           -408.9115680058483          2527.425610377629           
01 Jan 2000 12:11:44.304   -1568.229035139669          -400.4417059213131          2281.807194359009           
01 Jan 2000 12:12:07.791   -1796.30221720481           -388.2085161280133          2019.825376734479           
01 Jan 2000 12:12:31.055   -2003.39134280819           -372.0258308003876          1738.864219981114           
01 Jan 2000 12:12:53.852   -2184.788169606984          -352.1632277882856          1444.516462697367           
01 Jan 2000 12:13:15.886   -2337.004056358859          -329.2302875363834          1144.414249941887           
01 Jan 2000 12:13:37.302   -2460.997100960065          -303.5598233298567          840.7532874141604           
01 Jan 2000 12:13:58.356   -2558.416506057108          -275.299968367261           533.6816583602189           
01 Jan 2000 12:14:19.347   -2630.623515521248          -244.4403749907215          222.2053905920522           
01 Jan 2000 12:14:40.607   -2678.311440132519          -210.8225658117322          -95.45567077584998          
01 Jan 2000 12:15:02.502   -2701.284306560378          -174.1446133310098          -421.6699752102801          
01 Jan 2000 12:15:25.451   -2698.270327951518          -133.9605792074899          -759.264592558021           
01 Jan 2000 12:15:49.832   -2666.919220083763          -89.87989820251809          -1109.834487368343          
01 Jan 2000 12:16:14.382   -2608.863244742794          -44.59726744327041          -1451.698128781419          
01 Jan 2000 12:16:38.571   -2528.647010046903          0.4194831509462711          -1775.615863833035          
01 Jan 2000 12:17:03.051   -2427.202421952161          45.97728677081695           -2089.043243897709          
01 Jan 2000 12:17:28.469   -2303.354120478712          92.92841611527491           -2398.334885654053          
01 Jan 2000 12:17:55.193   -2155.951331213852          141.6000920807821           -2705.426422953884          
01 Jan 2000 12:18:23.454   -1984.190189698878          192.0274469368648           -3010.032920274631          
01 Jan 2000 12:18:53.843   -1784.743105239873          244.8213774374948           -3314.950728888699          
01 Jan 2000 12:19:26.612   -1556.179543285088          299.8974908211577           -3618.444170140888          
01 Jan 2000 12:20:02.103   -1296.640226861293          357.2337957109053           -3919.003761435057          
01 Jan 2000 12:20:40.553   -1005.303498775452          416.5455236338031           -4213.637420083172          
01 Jan 2000 12:21:22.563   -678.907295453687           477.9937171471761           -4501.392045850312          
01 Jan 2000 12:22:08.171   -319.0043569346521          540.7886640896123           -4776.697314129816          
01 Jan 2000 12:22:57.953   76.48584458317414           604.8107759117876           -5037.070907778008          
01 Jan 2000 12:23:52.054   505.6387946054273           669.2612501087561           -5277.134528471147          
01 Jan 2000 12:24:50.796   967.2711910118221           733.5053699389164           -5492.372607083343          
01 Jan 2000 12:25:54.513   1459.615304055765           796.8389748519154           -5678.099015781841          
01 Jan 2000 12:27:03.600   1980.672260060292           858.5325013463565           -5829.578246068158          
01 Jan 2000 12:28:18.504   2527.993109792803           917.7917917199269           -5941.849497429627          
01 Jan 2000 12:29:39.573   3097.526496039621           973.6416248651557           -6009.560359260143          
01 Jan 2000 12:31:07.196   3684.610770444978           1025.052741370346           -6027.335926100826          
01 Jan 2000 12:32:41.712   4283.257796688949           1070.880255811026           -5989.766612398352          
01 Jan 2000 12:34:23.461   4886.464095336176           1109.906039748164           -5891.545381525925          
01 Jan 2000 12:36:12.689   5485.622818417716           1140.813715502902           -5727.673574403091          
01 Jan 2000 12:38:09.657   6071.104812937172           1162.242830853267           -5493.506305411768          
01 Jan 2000 12:40:14.656   6632.142024583185           1172.775666774204           -5184.723894221982          
01 Jan 2000 12:42:27.023   7152.956970542315           1170.974863824235           -4800.392822142349          
01 Jan 2000 12:44:45.062   7615.107512565664           1155.843931915329           -4345.188835319955          
01 Jan 2000 12:47:07.873   8005.18747279629            1126.829817107551           -3823.960001450802          
01 Jan 2000 12:49:28.000   8299.456477898006           1085.896567254928           -3270.111478243764          
